Time (s),Raw Pressure (mmHg),Low-Pass Filtered (Amplitude),BPM (at peak time)
12.659,165.49,166.8257,
12.689,165.99,166.7443,
12.718,165.57,166.6648,
12.747,165.64,166.5872,
12.775,165.54,166.5114,
12.803,165.95,166.4372,
12.829,165.87,166.3647,
12.857,165.56,166.2941,
12.917,165.26,166.2256,
12.938,165.42,166.1595,
12.958,165.34,166.0958,
12.978,165.16,166.0344,
12.999,165.22,165.9752,
13.023,164.71,165.9176,
13.046,164.85,165.8614,
13.070,164.95,165.8057,
13.096,164.86,165.7500,
13.122,164.99,165.6938,
13.150,164.68,165.6366,
13.182,164.57,165.5783,
13.214,164.36,165.5187,
13.244,164.43,165.4577,
13.275,164.45,165.3952,
13.306,164.13,165.3309,
13.336,164.45,165.2648,
13.367,164.21,165.1969,
13.399,164.00,165.1272,
13.433,164.00,165.0561,
13.467,163.74,164.9836,
13.498,164.16,164.9099,
13.529,163.69,164.8351,
13.564,163.45,164.7595,
13.599,163.56,164.6831,
13.670,163.42,164.6060,
13.693,163.29,164.5282,
13.717,163.27,164.4495,
13.748,163.57,164.3700,
13.775,162.81,164.2896,
13.823,162.71,164.2083,
13.867,162.79,164.1263,
13.913,162.69,164.0431,
13.950,162.94,163.9586,
13.981,162.68,163.8727,
14.014,162.47,163.7853,
14.046,162.31,163.6967,
14.080,162.31,163.6070,
14.109,162.43,163.5163,
14.143,162.30,163.4247,
14.175,162.06,163.3326,
14.209,161.90,163.2402,
14.242,162.05,163.1478,
14.272,162.10,163.0556,
14.308,161.82,162.9638,
14.342,161.89,162.8728,
14.375,161.86,162.7829,
14.408,161.51,162.6944,
14.440,161.32,162.6077,
14.470,161.35,162.5227,
14.543,161.10,162.4394,
14.567,161.15,162.3574,
14.592,160.96,162.2762,
14.627,160.94,162.1954,
14.661,160.94,162.1144,
14.699,160.72,162.0330,
14.735,160.67,161.9506,
14.765,160.67,161.8671,
14.801,160.71,161.7824,
14.832,160.67,161.6965,
14.865,160.42,161.6095,
14.899,160.17,161.5217,
14.933,160.17,161.4335,
14.966,159.98,161.3449,
14.998,160.03,161.2561,
15.029,160.03,161.1670,
15.063,159.87,161.0776,
15.093,159.67,160.9880,
15.126,159.78,160.8983,
15.161,159.70,160.8085,
15.197,159.43,160.7188,
15.232,159.60,160.6293,
15.267,159.45,160.5402,
15.298,159.23,160.4516,
15.332,159.15,160.3637,
15.398,158.88,160.2765,
15.421,159.00,160.1900,
15.444,158.96,160.1040,
15.470,159.00,160.0184,
15.498,158.67,159.9329,
15.530,159.03,159.8476,
15.558,158.66,159.7626,
15.589,158.81,159.6780,
15.622,158.28,159.5941,
15.654,158.24,159.5111,
15.686,158.57,159.4290,
15.718,158.49,159.3478,
15.750,158.31,159.2674,
15.784,158.21,159.1880,
15.818,158.10,159.1097,
15.851,158.09,159.0326,
15.884,157.77,158.9569,
15.917,157.59,158.8823,
15.948,157.78,158.8086,
15.983,157.52,158.7354,
16.015,157.69,158.6624,
16.047,157.22,158.5890,
16.075,157.51,158.5151,
16.106,157.17,158.4402,
16.138,157.14,158.3643,
16.219,157.09,158.2870,
16.250,157.06,158.2082,
16.282,156.77,158.1280,
16.310,156.77,158.0461,
16.343,156.68,157.9627,
16.376,156.60,157.8778,
16.407,156.53,157.7912,
16.439,156.52,157.7032,
16.465,156.33,157.6139,
16.493,156.30,157.5234,
16.522,156.19,157.4321,
16.551,156.20,157.3400,
16.580,156.07,157.2476,
16.606,155.99,157.1551,
16.633,156.11,157.0629,
16.662,156.17,156.9712,
16.689,155.90,156.8805,
16.718,155.69,156.7914,
16.748,155.83,156.7042,
16.782,155.78,156.6194,
16.814,155.60,156.5372,
16.853,155.50,156.4576,
16.871,155.63,156.3808,
16.888,155.44,156.3068,
16.904,155.31,156.2353,
16.957,155.19,156.1663,
16.976,155.10,156.0995,
16.992,155.07,156.0344,
17.008,154.92,155.9707,
17.026,155.06,155.9077,
17.045,155.08,155.8450,
17.068,154.86,155.7822,
17.090,154.79,155.7192,
17.125,154.73,155.6559,
17.158,154.85,155.5922,
17.191,154.61,155.5282,
17.225,154.51,155.4638,
17.259,154.18,155.3991,
17.294,154.28,155.3342,
17.330,154.49,155.2688,
17.364,154.00,155.2027,
17.394,153.89,155.1358,
17.426,153.89,155.0679,
17.457,153.80,154.9987,
17.490,153.96,154.9280,
17.524,153.71,154.8555,
17.556,153.72,154.7812,
17.589,153.62,154.7051,
17.623,153.75,154.6275,
17.655,153.52,154.5487,
17.722,153.17,154.4690,
17.743,153.14,154.3887,
17.763,153.07,154.3080,
17.797,153.07,154.2270,
17.832,153.10,154.1456,
17.867,152.88,154.0637,
17.898,152.83,153.9814,
17.932,152.87,153.8987,
17.965,152.71,153.8158,
17.999,152.44,153.7327,
18.031,152.42,153.6496,
18.066,152.55,153.5665,
18.100,152.41,153.4832,
18.140,151.96,153.4000,
18.174,152.02,153.3167,
18.208,152.21,153.2332,
18.243,151.93,153.1494,
18.277,151.81,153.0653,
18.314,151.95,152.9808,
